,ID,Feature,Time
134,14,"(8.738092478921244, -6.057567199198781, 2.8653594321324842, 5.409324470446926, -1.5621347838792161)",412
135,14,"(9.182727598312955, -5.927877574345615, 2.8653594321324842, 5.409324470446926, -1.5621347838792161)",413
136,14,"(10.05532795046705, -6.107576890372695, 2.8653594321324842, 5.409324470446926, -1.5621347838792161)",414
137,14,"(10.787125446567188, -6.135360049719932, 2.8653594321324842, 5.409324470446926, -1.5621347838792161)",415
138,14,"(11.442964879513704, -6.233544658630731, 2.8653594321324842, 5.409324470446926, -1.490455935592321)",416
139,14,"(12.028402880789528, -6.255771189992581, 2.8653594321324842, 5.409324470446926, -1.490455935592321)",417
140,14,"(12.825045207277338, -6.505871960826626, 2.8653594321324842, 5.409324470446926, -1.490455935592321)",418
141,14,"(13.486441308364121, -6.457697045255605, 2.8653594321324842, 5.409324470446926, -1.490455935592321)",419
142,14,"(13.925519824191113, -6.474366943721934, 2.8653594321324842, 5.409324470446926, -1.490455935592321)",420
143,14,"(14.651760729005083, -6.648509637489758, 2.8653594321324842, 5.409324470446927, -1.490455935592321)",421
144,14,"(15.45951636114049, -6.605891358507301, 2.8653594321324842, 5.409324470446931, -1.490455935592321)",422
145,14,"(16.044954411508296, -6.628117891319836, 2.8653594321324842, 5.409324470446933, -1.490455935592321)",423
146,14,"(16.765638702567525, -6.9486201184486145, 2.8653594321324842, 5.409324470446931, -1.490455935592321)",424
147,14,"(17.64379578920727, -6.981959919327495, 2.8653594321324842, 5.409324470446931, -1.490455935592321)",425
148,14,"(18.809115281622702, -7.172772522030483, 2.865359432132489, 5.409324470446931, -1.490455935592321)",426
149,14,"(19.394553364461096, -7.194999058966855, 2.8653594321324913, 5.409324470446933, -1.490455935592321)",427
150,14,"(20.19675242234922, -7.298740314328959, 2.8653594321324882, 5.409324470446933, -1.490455935592321)",428
151,14,"(21.22126911345137, -7.337636757164734, 2.865359432132485, 5.409324470446933, -1.490455935592321)",429
152,14,"(22.169827740726348, -7.446934650983736, 2.8653594321324842, 5.409324470446933, -1.490455935592321)",430
153,14,"(23.123943046634416, -7.409873005025419, 2.865359432132485, 5.409324470446933, -1.490455935592321)",431
154,14,"(23.99654359130459, -7.589572354896854, 2.865359432132485, 5.40932447044694, -1.439613909508545)",432
155,14,"(25.156306594428823, -7.9267445196402075, 2.865359432132485, 5.40932447044694, -1.439613909508545)",433
156,14,"(25.95850572143958, -8.030485787332102, 2.865359432132485, 5.40932447044694, -1.439613909508545)",434
157,14,"(26.836662970327744, -8.0638256061414, 2.865359432132485, 5.40932447044694, -1.439613909508545)",435
158,14,"(27.562904031303088, -8.237968325868497, 2.8653594321324842, 5.40932447044694, -1.439613909508545)",436
