,ID,Feature,Time
69,2a2,"(3.8191293817029672, -25.81679566947306, 2.297412363905136, 5.121193848800068, -4.730560471170434)",76
70,2a2,"(2.54284653911654, -25.91090923778696, 2.297412363905136, 5.121193848800068, -4.730560471170434)",77
71,2a2,"(1.6310661793381862, -25.913006021576948, 2.297412363905136, 5.121193848800068, -4.730560471170434)",78
72,2a2,"(0.627898122658474, -25.824134430510576, 2.297412363905136, 5.121193848800068, -4.730560471170434)",79
73,2a2,"(-0.7397722857622611, -25.827279620473078, 2.297412363905136, 5.121193848800068, -4.730560471170434)",80
74,2a3,"(5.20523821747688, -9.44294519428735, 2.258391469495945, 4.935006645337881, -1.557224383006095)",40
75,2a3,"(5.20523821747688, -9.44294519428735, 2.258391469495945, 4.935006645337881, -1.557224383006095)",41
76,2a3,"(5.20523821747688, -9.44294519428735, 2.258391469495945, 4.935006645337881, -1.557224383006095)",42
77,2a3,"(5.20523821747688, -9.44294519428735, 2.258391469495945, 4.935006645337881, -1.557224383006095)",43
78,2a3,"(5.20523821747688, -9.44294519428735, 2.258391469495945, 4.935006645337881, -1.557224383006095)",44
79,2a3,"(5.20523821747688, -9.44294519428735, 2.258391469495945, 4.935006645337881, -1.557224383006095)",45
80,2a3,"(5.20523821747688, -9.44294519428735, 2.258391469495945, 4.935006645337881, -1.557224383006095)",46
81,2a3,"(5.20523821747688, -9.44294519428735, 2.258391469495945, 4.935006645337881, -1.557224383006095)",47
82,2a3,"(5.20523821747688, -9.44294519428735, 2.258391469495945, 4.935006645337881, -1.557224383006095)",48
83,2a3,"(5.20523821747688, -9.44294519428735, 2.258391469495945, 4.935006645337881, -1.557224383006095)",49
84,2a3,"(5.20523821747688, -9.44294519428735, 2.258391469495945, 4.935006645337881, -1.557224383006095)",50
85,2a3,"(5.20523821747688, -9.44294519428735, 2.258391469495945, 4.935006645337881, -1.557224383006095)",51
86,2a3,"(5.478772358136958, -9.44231608034675, 2.258391469495945, 4.935006645337881, -1.557224383006095)",52
87,2a3,"(5.478772358136958, -9.44231608034675, 2.258391469495945, 4.935006645337881, -1.557224383006095)",53
88,2a3,"(5.7523064954724425, -9.441686969746229, 2.258391469495945, 4.935006645337881, -1.557224383006095)",54
89,2a3,"(5.7523064954724425, -9.441686969746229, 2.258391469495945, 4.935006645337881, -1.557224383006095)",55
90,2a3,"(5.7523064954724425, -9.441686969746229, 2.258391469495945, 4.935006645337881, -1.557224383006095)",56
91,2a3,"(6.117018686905652, -9.440848150594437, 2.258391469495945, 4.935006645337881, -1.557224383006095)",57
92,2a3,"(6.299374784292327, -9.440428742680897, 2.258391469495945, 4.935006645337881, -1.557224383006095)",58
93,2a3,"(6.481730879454176, -9.44000933338399, 2.258391469495945, 4.935006645337881, -1.557224383006095)",59
94,2a3,"(6.481730879454177, -9.44000933338399, 2.258391469495943, 4.935006645337882, -1.492760154041196)",60
95,2a3,"(6.846443069780396, -9.43917051590093, 2.258391469495943, 4.935006645337882, -1.492760154041196)",61
96,2a3,"(7.30275269775101, -9.620478117995162, 2.258391469495943, 4.935006645337882, -1.492760154041196)",62
97,2a3,"(7.758642972463558, -9.61942960022229, 2.258391469495943, 4.935006645337882, -1.492760154041196)",63
98,2a3,"(7.758642972463558, -9.61942960022229, 2.258391469495943, 4.935006645337882, -1.492760154041196)",64
99,2a3,"(8.305711292952573, -9.618171378082724, 2.258391469495943, 4.935006645337882, -1.492760154041196)",65
100,2a3,"(8.76181125123869, -9.708300921129908, 2.258391469495943, 4.935006645337882, -1.492760154041196)",66
101,2a3,"(9.217701531503561, -9.707252402650003, 2.258391469495943, 4.935006645337882, -1.492760154041196)",67
102,2a3,"(9.491445397414623, -9.797801359153294, 2.258391469495943, 4.935006645337882, -1.492760154041196)",68
103,2a3,"(9.947125989926267, -9.70557477375333, 2.258391469495943, 4.935006645337882, -1.492760154041196)",69
104,2a3,"(10.220660163085729, -9.704945663487052, 2.258391469495943, 4.935006645337882, -1.492760154041196)",70
105,2a3,"(10.676760142212078, -9.795075212040352, 2.258391469495943, 4.935006645337881, -1.492760154041196)",71
106,2a3,"(11.223828501025505, -9.793816990645745, 2.258391469495943, 4.935006645337881, -1.492760154041196)",72
107,2a3,"(11.679928516261075, -9.883946542726047, 2.258391469495943, 4.935006645337881, -1.492760154041196)",73
108,2a3,"(12.135818850691788, -9.882898030369763, 2.258391469495943, 4.935006645337881, -1.492760154041196)",74
109,2a3,"(12.682887251163958, -9.881639810545543, 2.258391469495943, 4.935006645337881, -1.492760154041196)",75
